"store_id","post","emp","price","nj"
6,0,5,4.72,1
14,0,16,4.4,1
26,0,41.5,2.95,1
27,0,13,4.25,1
30,0,10,4.65,1
31,0,15,4.65,1
33,0,26,3.04,1
36,0,18,4.5,1
77,0,35,3.42,1
78,0,21,3.16,1
81,0,34.5,3.1,1
82,0,18.25,3.15,1
85,0,20,3.16,1
89,0,16,3.08,1
94,0,17.5,4.42,1
112,0,20,3.1,1
128,0,12.25,4.25,1
129,0,33,2.84,1
131,0,31.5,3.18,1
144,0,28,2.82,1
145,0,16.5,2.96,1
147,0,14.75,2.96,1
148,0,23.5,2.96,1
151,0,10,2.94,1
152,0,46.5,3.14,1
157,0,15.5,4.1,1
161,0,24.5,3.2,1
163,0,24,3.33,1
164,0,23,3.2,1
165,0,28,3.01,1
169,0,32.5,3.08,1
170,0,23,3.2,1
187,0,17,3.27,1
190,0,30,3.15,1
196,0,21.5,2.86,1
197,0,32,2.77,1
234,0,8,NA,1
240,0,35.5,3.26,1
242,0,33,3.18,1
245,0,22,3.24,1
259,0,23,2.72,1
268,0,23,2.72,1
271,0,8.5,4.15,1
272,0,12.5,4.03,1
274,0,9.5,3.99,1
276,0,13,3.88,1
296,0,17,3.02,1
299,0,9,4.25,1
301,0,19,4.25,1
320,0,11.5,4.37,1
321,0,13,4.42,1
324,0,48,NA,1
326,0,45.5,NA,1
330,0,15,2.82,1
334,0,18,2.73,1
349,0,21,2.98,1
354,0,20.5,2.76,1
356,0,20.5,2.81,1
357,0,17.5,2.76,1
371,0,27.5,3.03,1
373,0,24,2.99,1
375,0,34,NA,1
378,0,18,3.16,1
381,0,24,3.54,1
406,0,33.5,NA,1
407,0,12,3.72,1
409,0,35,3.01,1
3,0,15.5,5.1,1
10,0,29,2.74,1
11,0,29,2.89,1
18,0,30.5,NA,1
19,0,23.5,2.89,1
38,0,30,2.98,1
66,0,27,2.96,1
68,0,38,3.11,1
69,0,16.5,3.07,1
73,0,6.5,4.57,1
75,0,13.5,5.21,1
76,0,28,3.16,1
86,0,20.5,3.1,1
88,0,23.5,2.84,1
91,0,23,3.06,1
92,0,17,3.07,1
93,0,20.5,NA,1
95,0,23.5,4.42,1
96,0,9.5,4.73,1
97,0,10,4.33,1
98,0,14,4.42,1
105,0,24,2.99,1
106,0,20.5,2.96,1
107,0,14.5,3.07,1
108,0,25,3.34,1
111,0,27,3.24,1
116,0,17.25,3.62,1
118,0,21.5,3.02,1
122,0,25,NA,1
124,0,16,3.01,1
137,0,30.5,3.2,1
142,0,36.5,3.07,1
168,0,19,2.96,1
171,0,21,3.08,1
178,0,22,4.1,1
179,0,11,4.16,1
195,0,18,2.97,1
200,0,33,2.95,1
202,0,41,2.75,1
203,0,17,2.96,1
204,0,18.25,3.12,1
209,0,26,3.07,1
216,0,10.5,4.78,1
217,0,10.5,3.88,1
219,0,10.5,3.99,1
220,0,12.5,4.78,1
222,0,17,3.03,1
226,0,13,2.61,1
230,0,15.5,2.92,1
237,0,21.5,3.07,1
239,0,20,4.74,1
244,0,30,3.31,1
258,0,18,2.88,1
260,0,24,2.87,1
262,0,16.5,3.07,1
264,0,7,2.81,1
265,0,11,2.84,1
267,0,19.5,2.5,1
275,0,10,4.08,1
277,0,12.5,4.14,1
278,0,8,3.88,1
282,0,12,2.76,1
289,0,10,2.92,1
297,0,19.5,2.95,1
307,0,30.25,3.44,1
310,0,18,3.76,1
312,0,10,3.21,1
317,0,6,3.11,1
333,0,14.25,2.72,1
339,0,23,2.86,1
340,0,24,2.76,1
348,0,11.25,3.03,1
351,0,18.75,2.87,1
359,0,15,2.69,1
360,0,17.5,2.79,1
361,0,17.5,2.78,1
363,0,15.5,4.31,1
364,0,16.5,4.25,1
368,0,13,2.7,1
377,0,18,2.96,1
385,0,26,NA,1
386,0,12.5,2.96,1
391,0,19.5,4.78,1
397,0,21,3.2,1
401,0,15,3.16,1
410,0,20.5,3.18,1
413,0,23,3.2,1
414,0,23,3.12,1
415,0,29,2.95,1
417,0,21,3.06,1
418,0,41.5,2.55,1
419,0,12,4.25,1
426,0,24.5,3.26,1
1,0,35,2.61,1
2,0,16,2.93,1
4,0,19,4.19,1
5,0,24,NA,1
9,0,36,2.56,1
12,0,21.25,2.75,1
13,0,15.5,4.67,1
15,0,19.5,2.95,1
16,0,21,NA,1
17,0,14,4.08,1
21,0,14,3.99,1
22,0,14.5,2.85,1
23,0,15.5,2.96,1
24,0,26.5,3.02,1
29,0,5.5,4.63,1
32,0,23.25,3.2,1
34,0,15.5,3.2,1
35,0,32.25,4.04,1
64,0,30.5,2.96,1
67,0,18.5,3.4,1
70,0,50,3.03,1
71,0,20.5,2.96,1
79,0,21.5,3.25,1
84,0,24,2.8,1
99,0,85,NA,1
101,0,15,3.44,1
102,0,21.5,3.04,1
104,0,53,2.73,1
114,0,22.5,2.97,1
115,0,36.5,3.07,1
119,0,24.5,2.92,1
120,0,19,3.15,1
125,0,19,4.1,1
130,0,22.75,3.19,1
132,0,35,4.64,1
133,0,16,3.25,1
134,0,21,NA,1
140,0,23,2.83,1
141,0,21.5,2.99,1
146,0,23,3.12,1
149,0,14,2.96,1
150,0,17.25,3.01,1
156,0,18.5,3.03,1
158,0,8.5,3.96,1
159,0,14,4.17,1
162,0,23,3.2,1
166,0,29,2.86,1
172,0,17,3.2,1
173,0,36,2.99,1
174,0,25,3.04,1
176,0,29.5,NA,1
180,0,13.5,4.73,1
182,0,13.5,4.73,1
183,0,18,4.73,1
185,0,9.5,4.73,1
186,0,24,3.09,1
189,0,14.5,3.31,1
192,0,29,2.82,1
193,0,10.5,2.79,1
199,0,9,3.99,1
201,0,19.5,3.03,1
207,0,17,4.25,1
208,0,32,2.98,1
210,0,11.5,2.96,1
211,0,21,2.92,1
212,0,22.75,2.78,1
213,0,18.5,2.82,1
214,0,20,2.82,1
215,0,18,2.86,1
218,0,11,3.93,1
221,0,18,4.53,1
223,0,15,NA,1
225,0,19.5,2.88,1
228,0,20.25,2.76,1
229,0,26,2.96,1
232,0,24,2.96,1
233,0,25.5,3.07,1
238,0,14,4.42,1
243,0,22.5,2.83,1
247,0,24,3.17,1
248,0,22,2.97,1
249,0,13,3.14,1
250,0,5,NA,1
253,0,13.5,4.59,1
269,0,10,3.14,1
273,0,13,4.03,1
284,0,20.5,2.84,1
285,0,18.5,2.73,1
286,0,11.5,NA,1
287,0,15,2.92,1
288,0,13,2.92,1
290,0,17,2.79,1
291,0,17,2.76,1
292,0,20.5,2.82,1
303,0,30.5,3.14,1
304,0,23,4.78,1
305,0,13,3.6,1
314,0,17,2.92,1
316,0,25.5,2.85,1
318,0,11.5,4.82,1
319,0,8.5,5.86,1
322,0,18.5,3.14,1
325,0,15.5,2.94,1
336,0,38,2.86,1
337,0,24.75,2.92,1
341,0,7.5,4.03,1
343,0,15,4.03,1
350,0,16.5,3.09,1
366,0,13.5,2.56,1
369,0,11.5,3.4,1
370,0,29.05,2.96,1
376,0,13,2.86,1
379,0,30,3.07,1
380,0,20.5,2.96,1
383,0,10,3.05,1
393,0,12,5.21,1
396,0,36,4.47,1
398,0,24.5,3.24,1
399,0,20,3.43,1
400,0,26.5,3.32,1
402,0,19,3.2,1
405,0,17.5,3.2,1
411,0,21,3.27,1
412,0,10.5,4.42,1
421,0,33,4.25,1
422,0,6.5,4.25,1
423,0,9,4.25,1
424,0,9.75,4.25,1
427,0,14,4.07,1
428,0,19.5,3.1,1
56,0,34,3.48,0
61,0,24,3.29,0
445,0,70.5,2.86,0
451,0,23.5,2.85,0
455,0,11,3.78,0
458,0,9,3.99,0
462,0,15.5,3.17,0
468,0,58,2.84,0
469,0,26.5,2.6,0
470,0,28.5,2.75,0
474,0,13.5,3.12,0
481,0,16.75,4.22,0
483,0,9.5,3.99,0
487,0,15,2.97,0
488,0,29.5,2.85,0
489,0,18.5,3,0
490,0,20.25,3.11,0
493,0,36,3.96,0
495,0,21,3,0
496,0,20.5,2.68,0
499,0,19,3.34,0
509,0,14,3.16,0
515,0,19,3.15,0
37,0,32.5,2.66,0
40,0,27,2.6,0
41,0,19.5,2.65,0
42,0,24,2.67,0
45,0,18,2.67,0
48,0,19,2.48,0
50,0,14,5.4,0
51,0,10.5,4.25,0
57,0,38,2.56,0
58,0,23.5,2.65,0
59,0,10.5,2.61,0
60,0,25,2.54,0
999,0,11,4.02,0
430,0,36.5,2.5,0
432,0,52.5,2.47,0
434,0,45,NA,0
435,0,22.75,2.49,0
438,0,7.5,4.28,0
441,0,38,2.5,0
443,0,17.5,3.48,0
444,0,25,2.53,0
448,0,21,2.72,0
449,0,15.5,NA,0
450,0,15.5,2.63,0
454,0,8.5,4.2,0
459,0,18,2.89,0
471,0,39,2.72,0
472,0,41.5,2.93,0
473,0,22.5,2.72,0
475,0,32,2.81,0
476,0,24,2.65,0
477,0,26,2.74,0
478,0,48.5,2.74,0
485,0,8.5,4.02,0
491,0,18.5,2.91,0
492,0,13,3.1,0
498,0,28,2.6,0
501,0,24.5,2.62,0
503,0,18.5,2.72,0
511,0,15,2.97,0
514,0,18,2.78,0
516,0,20.25,3.01,0
521,0,15.5,NA,0
522,0,21,2.81,0
6,1,8,4.35,1
14,1,15.5,4.59,1
26,1,24,2.89,1
27,1,7.5,4.42,1
30,1,7.5,4.55,1
31,1,18.5,4.69,1
33,1,16.5,3.22,1
36,1,33.5,3.03,1
77,1,37,3.17,1
78,1,18,3.17,1
81,1,26.5,4.16,1
82,1,33,3.14,1
85,1,20.5,3.17,1
89,1,24.5,3.17,1
94,1,16,4.37,1
112,1,23.5,4.27,1
128,1,13,4.16,1
129,1,20,3,1
131,1,22,3.21,1
144,1,25.5,3.14,1
145,1,18,2.96,1
147,1,9,2.95,1
148,1,26.5,2.93,1
151,1,0,NA,1
152,1,23.75,3.04,1
157,1,18,4.25,1
161,1,36,3.22,1
163,1,21,NA,1
164,1,15.5,3.22,1
165,1,22.5,3.08,1
169,1,27,3.21,1
170,1,34,3.58,1
187,1,16.75,3.22,1
190,1,26,3.8,1
196,1,18,4.01,1
197,1,20.5,2.95,1
234,1,15,2.63,1
240,1,25.5,3.15,1
242,1,20,3.22,1
245,1,18,3.27,1
259,1,26.5,NA,1
268,1,23.25,2.56,1
271,1,10.5,3.91,1
272,1,12,3.99,1
274,1,9.5,NA,1
276,1,15.5,4,1
296,1,14.5,2.99,1
299,1,14,4.21,1
301,1,6.5,4.1,1
320,1,10,4.32,1
321,1,11.5,4.32,1
324,1,46.5,3.32,1
326,1,26.5,NA,1
330,1,16,2.99,1
334,1,13,2.65,1
349,1,14,2.96,1
354,1,15.5,2.79,1
356,1,18,2.9,1
357,1,27,4.19,1
371,1,27,NA,1
373,1,29.5,3.06,1
375,1,16.5,3,1
378,1,31.5,3.07,1
381,1,27.5,3.69,1
406,1,32,3.77,1
407,1,14.5,4.53,1
409,1,10.5,3.14,1
3,1,10.5,4.74,1
10,1,26.5,2.75,1
11,1,27,2.86,1
18,1,32,2.68,1
19,1,33,2.92,1
38,1,26,2.56,1
66,1,35,2.95,1
68,1,24.5,2.95,1
69,1,16.5,3.27,1
73,1,17,4.53,1
75,1,12.5,5.07,1
76,1,38.5,3.22,1
86,1,19,3.14,1
88,1,26.5,2.86,1
91,1,19,3.21,1
92,1,20,3.17,1
93,1,22.5,3.21,1
95,1,10,4.33,1
96,1,12.5,4.58,1
97,1,11,4.39,1
98,1,12.5,4.48,1
105,1,26.5,3.2,1
106,1,17.5,2.95,1
107,1,20.5,NA,1
108,1,28,3.44,1
111,1,30.25,3.32,1
116,1,31,3.55,1
118,1,31,2.99,1
122,1,41,3.24,1
124,1,28,3.22,1
137,1,32,3.27,1
142,1,60.5,3.16,1
168,1,20,3.2,1
171,1,21.25,3.25,1
178,1,9,4.59,1
179,1,11,4.27,1
195,1,23.5,3.89,1
200,1,29,2.97,1
202,1,22.5,2.74,1
203,1,24,2.95,1
204,1,21.75,3.09,1
209,1,28.5,3.22,1
216,1,14,4.74,1
217,1,9,3.99,1
219,1,15.5,4.2,1
220,1,12,4.74,1
222,1,12.5,2.91,1
226,1,15,2.79,1
230,1,26.5,2.93,1
237,1,21.5,2.88,1
239,1,11.5,4.21,1
244,1,28,3.28,1
258,1,32,2.86,1
260,1,22,2.96,1
262,1,14.25,2.97,1
264,1,16.5,3.1,1
265,1,0,NA,1
267,1,47.5,2.84,1
275,1,7,3.99,1
277,1,11,3.99,1
278,1,8.5,4,1
282,1,0,NA,1
289,1,10,4.02,1
297,1,34,2.97,1
307,1,43.5,NA,1
310,1,17.5,3.93,1
312,1,7,3.33,1
317,1,7,3.36,1
333,1,16,2.78,1
339,1,11.5,2.85,1
340,1,25.5,2.73,1
348,1,0,NA,1
351,1,24,2.75,1
359,1,17,2.74,1
360,1,28,2.74,1
361,1,21.5,2.75,1
363,1,19.5,4.24,1
364,1,20,4.32,1
368,1,14.5,2.8,1
377,1,20,2.94,1
385,1,25,2.79,1
386,1,23,2.95,1
391,1,17.5,4.74,1
397,1,16.5,4.34,1
401,1,22.5,3.22,1
410,1,20.5,3.18,1
413,1,13,3.17,1
414,1,21.5,3.23,1
415,1,23,2.99,1
417,1,25.5,3.2,1
418,1,21.5,2.52,1
419,1,9.5,4.42,1
426,1,20.5,3.21,1
1,1,44,2.74,1
2,1,15.5,3,1
4,1,24,3.48,1
5,1,29,2.93,1
9,1,20,3.04,1
12,1,26.5,2.87,1
13,1,10.5,4.7,1
15,1,18,4.06,1
16,1,18.5,3,1
17,1,25.5,2.94,1
21,1,7.5,4.31,1
22,1,12.5,3.04,1
23,1,24,2.93,1
24,1,29,2.99,1
29,1,9.5,4.74,1
32,1,17.5,4.61,1
34,1,17.5,3.06,1
35,1,25,NA,1
64,1,22.5,2.95,1
67,1,17.75,3.59,1
70,1,30,3.01,1
71,1,39,2.95,1
79,1,20,3.22,1
84,1,32,2.89,1
99,1,59,4.71,1
101,1,19,3.3,1
102,1,15.5,3.13,1
104,1,19,2.78,1
114,1,44,2.99,1
115,1,17.5,3.01,1
119,1,28.5,2.89,1
120,1,19,3.15,1
125,1,9.5,4.51,1
130,1,25,3.22,1
132,1,28,NA,1
133,1,16,4.28,1
134,1,22.75,3.11,1
140,1,27.5,2.99,1
141,1,25.5,3.23,1
146,1,20.5,3.09,1
149,1,16,2.93,1
150,1,25,2.87,1
156,1,13,2.9,1
158,1,9,4.38,1
159,1,16.5,4.28,1
162,1,21,3.17,1
166,1,21.5,3.21,1
172,1,21.5,3.17,1
173,1,31,3.03,1
174,1,33,2.93,1
176,1,37.75,NA,1
180,1,12.75,4.95,1
182,1,10.5,4.78,1
183,1,22,4.8,1
185,1,8,4.8,1
186,1,25,3.18,1
189,1,12.5,3.22,1
192,1,22.5,3.15,1
193,1,11.5,3.17,1
199,1,16.5,4.26,1
201,1,30,2.95,1
207,1,13.5,4.21,1
208,1,24,3.17,1
210,1,10,NA,1
211,1,23.5,NA,1
212,1,30.5,2.88,1
213,1,24.75,2.93,1
214,1,22.5,2.93,1
215,1,28,2.7,1
218,1,9.5,3.87,1
221,1,11.5,4.52,1
223,1,16,2.96,1
225,1,28.5,2.96,1
228,1,23.5,2.73,1
229,1,30.5,2.89,1
232,1,27,2.95,1
233,1,21.5,2.93,1
238,1,37.5,4.42,1
243,1,21,3.22,1
247,1,24,4.27,1
248,1,23,4.35,1
249,1,19,2.96,1
250,1,7,4.3,1
253,1,14,4.62,1
269,1,15.5,3.99,1
273,1,10.5,4.01,1
284,1,15,2.96,1
285,1,13.5,3.03,1
286,1,12.5,2.97,1
287,1,12.5,2.96,1
288,1,12.5,2.91,1
290,1,13.5,2.79,1
291,1,16,2.79,1
292,1,23.5,4.53,1
303,1,32.5,3.15,1
304,1,21.5,3.74,1
305,1,20,3.73,1
314,1,22,2.73,1
316,1,22,2.93,1
318,1,14,4.65,1
319,1,27,4.28,1
322,1,18.5,2.91,1
325,1,11.5,3.04,1
336,1,25,2.94,1
337,1,30.5,NA,1
341,1,9.5,4.06,1
343,1,11.5,4.12,1
350,1,17,2.91,1
366,1,14.5,2.54,1
369,1,0,NA,1
370,1,31.5,NA,1
376,1,11.5,3.27,1
379,1,34,3.18,1
380,1,25,2.93,1
383,1,10,3.22,1
393,1,23,5.17,1
396,1,26,3.21,1
398,1,35.5,3.22,1
399,1,31,3.39,1
400,1,23,3.23,1
402,1,21.5,3.21,1
405,1,12,3.18,1
411,1,25,3.17,1
412,1,8.5,4.84,1
421,1,36.5,4.21,1
422,1,16,4.17,1
423,1,23.75,4.21,1
424,1,17.5,4.31,1
427,1,20.5,4.27,1
428,1,25,4.05,1
56,1,20,2.58,0
61,1,35.5,2.8,0
445,1,29,2.84,0
451,1,36.5,2.89,0
455,1,11,4.1,0
458,1,8.5,3.95,0
462,1,17.5,2.91,0
468,1,29,2.67,0
469,1,30.5,2.6,0
470,1,26,2.81,0
474,1,18,2.97,0
481,1,20,4,0
483,1,13.5,4.02,0
487,1,19,3,0
488,1,15.5,2.96,0
489,1,14.5,3.07,0
490,1,14,3.07,0
493,1,19,2.87,0
495,1,21,2.98,0
496,1,18,2.91,0
499,1,20.5,2.53,0
509,1,13.5,2.95,0
515,1,17.5,2.96,0
37,1,25.5,2.68,0
40,1,25.5,2.67,0
41,1,27,2.63,0
42,1,16,NA,0
45,1,19,2.59,0
48,1,25,2.64,0
50,1,17,4.25,0
51,1,16.5,4.24,0
57,1,20,2.69,0
58,1,18,2.82,0
59,1,12,2.71,0
60,1,25,2.68,0
999,1,11,4.32,0
430,1,27,2.39,0
432,1,34,2.47,0
434,1,37.5,2.55,0
435,1,21,2.47,0
438,1,9.5,4.22,0
441,1,18,3.61,0
443,1,19,3.61,0
444,1,31.5,NA,0
448,1,24.5,2.66,0
449,1,27.5,2.54,0
450,1,34.5,2.61,0
454,1,14,4.31,0
459,1,15,2.91,0
471,1,26.5,2.74,0
472,1,23.5,2.71,0
473,1,35.5,2.67,0
475,1,21,2.86,0
476,1,23,2.98,0
477,1,20,2.69,0
478,1,27,2.8,0
485,1,13,4.06,0
491,1,0,NA,0
492,1,13.5,3.27,0
498,1,26.75,2.72,0
501,1,43.5,2.85,0
503,1,41.25,2.81,0
511,1,12.5,2.91,0
514,1,34,2.95,0
516,1,10,2.85,0
521,1,14,2.14,0
522,1,17.5,2.69,0
